"","MarketCap","EnterpriseValue","Revenue","GrossProfit","EBITDA","NetIncomeAvltoCommon","TotalCash","TotalDebt","OperatingCashFlow","LeveredFreeCashFlow","symbol","TrailingPE","ForwardPE","PEGRatio","PriceSales","PriceBook","EnterpriseValueRevenue","EnterpriseValueEBITDA","ProfitMargin","OperatingMargin","ReturnonAssets","ReturnonEquity","RevenuePerShare","QtrlyRevenueGrowth","DilutedEPS","QtrlyEarningsGrowth","TotalCashPerShare","TotalDebtEquity","CurrentRatio","BookValuePerShare","Beta","AvgVol","AvgVol1","ForwardAnnualDividendYield","TrailingAnnualDividendYield3","Sector","AnalystOpinion","RollingAVG","Volatility","Kurtosis","RSI","cluster"
"534",1.07e+09,1.35e+09,1.83e+09,507940000,149240000,66580000,10070000,269640000,150860000,119800000,"KAMN",18.6,13.95,1.04,0.6,2.08,0.74,9.08,0.0323,0.0611,0.0597,0.1274,67.47,0.085,2.12,0.113,0.37,51.5,2.85,19.25,0.87,89388,97625,0.018,0.017,"Consumer Durables",2.2,-0.0506670777315796,0.00681492448023083,3.50552921025626,81.1475409836067,6
"535",1.217e+10,3.806e+10,5.25e+09,0,0,1.41e+09,1.643e+10,4.318e+10,-9.76e+09,0,"KB",8.64,8.35,1.03,2.3,0.51,7.25,0,0.2695,0.3297,0.0054,0.0619,13.58,0.094,3.65,0.684,42.52,0,0,61.65,1.32,96144,107725,0.024,0,"Finance",1,-0.183562354161265,0.0162767684368022,2.44728897312698,0,134
"536",2.52e+09,1.8e+09,6.17e+09,-6.5e+07,-1.87e+08,-1.18e+09,7.58e+08,6.9e+07,7.9e+07,124500000,"KBR",0,13.44,0.41,0.41,2.9,0.29,-9.64,-0.1905,-0.0409,-0.0342,-0.6972,42.33,-0.121,-8.09,0,5.26,7.91,1.23,6.09,0.99,1852190,1410000,0.019,0.018,"Basic Industries",2.6,0.106558274199709,0.0132411544557588,6.74355691866235,40.7767923456682,18
"537",141940000,932640000,1.34e+09,367680000,68990000,-226400000,35920000,778290000,115810000,27020000,"KEG",0,0,0.09,0.12,0.17,0.7,13.52,-0.1691,-0.0957,-0.0336,-0.2029,8.7,-0.248,-1.47,0,0.23,78.01,2.06,6.4,2.25,3062800,3433020,0,0,"Energy",2.7,-0.580645161290323,0.0367446494159787,4.19667116018403,80.3921568627451,37
"538",1.252e+10,2.257e+10,4.02e+09,0,0,8.95e+08,1.9e+09,1.18e+10,0,0,"KEY",14.52,11.97,1.4,3.14,1.23,5.61,0,0.2261,0.3327,0.0099,0.0872,4.72,0.013,1.02,0.087,2.26,0,0,12.21,1.34,9167790,8112960,0.02,0.018,"Finance",2.5,0.0481573196554924,0.0105081601014145,2.09852916248045,66.0714285714285,10
"539",691570000,737850000,1.25e+09,374580000,59230000,30790000,1930000,94790000,-20110000,27460000,"KFRC",7.88,14.25,0.82,0.53,4.85,0.59,12.46,0.0725,0.0416,0.0911,0.2065,41.18,0.108,2.97,-0.074,0.07,69.24,2.45,4.85,1.48,140359,135538,0.019,0.018,"Technology",1.9,0.0641315202755066,0.0169876459136339,5.64526391007143,25.4717443929351,15
"540",1.69e+09,1.32e+09,1.03e+09,988460000,136850000,87500000,406600000,0,107280000,95790000,"KFY",19.04,14.95,1.37,1.65,2.07,1.28,9.61,0.0859,0.115,0.0579,0.1125,20.96,0.079,1.76,0.201,8.03,0,2.1,16.12,1.43,292298,307612,0.012,0.006,"Technology",2,0.034300372258544,0.0110219654853189,3.05158203735918,75.4717461731061,15
"541",9.636e+10,7.685e+10,1.06e+10,0,2.5e+09,1.8e+07,1.9e+09,1.373e+10,1.76e+09,0,"KHC",3784.29,0,0,0,0,7.25,30.75,0.0696,0.206,0,0,12.46,-0.115,0.02,0.415,2.23,89.37,1.77,0,0.21,5628360,3396550,0.029,0.007,"Consumer Non-Durables",2.7,0.0968985872617183,0.0138799482046121,2.01616260888557,10.5669602241241,139
"542",1.02e+10,1.553e+10,1.05e+09,735280000,661100000,555730000,220980000,5.72e+09,664370000,421780000,"KIM",17.32,15.84,3.43,9.6,2.01,14.76,23.49,0.6155,0.3656,0.0223,0.1228,2.57,0.238,1.43,2.567,0.54,107.98,3.65,12.15,0.66,2894120,2939620,0.04,0.039,"Consumer Services",2.4,-0.0178554756189071,0.00987724879153343,2.91840297689999,11.1109876536353,42
"543",471810000,368510000,517680000,202900000,49290000,18290000,93440000,0,43650000,15650000,"KIRK",26.75,18.81,1.27,0.91,3.07,0.71,7.48,0.0353,0.0574,0.0768,0.1259,30.02,0.093,1.02,0.231,5.4,0,3.22,8.84,0.64,153552,92113,0,0.055,"Consumer Services",1.5,0.186935452424927,0.0152584229057358,8.86184951718797,23.3645139312692,42
"544",1.19e+09,1.11e+09,501230000,90590000,64370000,31070000,58640000,10560000,66360000,22110000,"KKD",40.61,19.02,0.89,2.41,4.45,2.21,17.22,0.062,0.1012,0.0924,0.1172,7.55,0.09,0.46,0.105,0.92,3.86,2.9,4.23,2.72,599184,377788,0,0,"Consumer Non-Durables",1.6,-0.0361944674250259,0.0111883901746596,27.478378769869,20.8333940970956,16
"545",8.48e+09,9.09e+09,2.79e+09,1.7e+09,720650000,352870000,2.34e+09,3.24e+09,537070000,373140000,"KLAC",24.87,12.75,0.75,2.98,16.85,3.26,12.62,0.1264,0.2285,0.0768,0.1707,17.02,-0.112,2.13,-0.353,14.63,655.3,4.06,3.09,1.51,1313600,1832880,0.039,0.355,"Capital Goods",2.9,-0.0914526795064757,0.0115777240151521,3.08738447276526,15.1161438610229,140
"546",799700000,278520000,627910000,273550000,1.05e+08,71650000,528780000,18360000,52750000,16750000,"KLIC",11.35,13.01,1.23,1.28,1.01,0.44,2.65,0.1141,0.1424,0.0604,0.0936,8.18,0.272,0.92,-0.126,6.88,2.29,8,10.42,1.1,635288,451388,0,0,"Technology",2,-0.327953518398967,0.0133751651875549,20.4180644654717,43.2692307692307,15
"547",4.188e+10,4.781e+10,1.922e+10,6.68e+09,4.38e+09,6.56e+08,6.03e+08,7.67e+09,2.36e+09,2.34e+09,"KMB",66.42,18.51,2.73,2.17,80.91,2.49,10.93,0.0334,0.1855,0.1283,0.2575,52.2,-0.063,1.73,0,1.66,1031.05,0.82,1.42,0.89,1299540,1621640,0.031,0.021,"Consumer Durables",2.7,0.0382590650595051,0.00656983984295843,2.77300629078987,3.19488204638674e-05,84
"548",7.51e+10,1.2019e+11,1.53e+10,7.79e+09,6.51e+09,1.21e+09,1.63e+08,4.455e+10,0,0,"KMI",49.07,36.46,-5.2,4.98,2.17,7.85,18.45,0.0795,0.2873,0.0339,0.0657,8.99,-0.12,0.71,0.173,0.08,125.48,0.45,16.17,0.55,11274000,15948700,0.056,0.053,"Public Utilities",1.8,-0.199136847980564,0.00787317242466695,2.40813398838218,40.8140595569383,141
"549",1.342e+10,2.228e+10,1.453e+10,1.89e+09,1.12e+09,609680000,351760000,9.49e+09,-641500000,296420000,"KMX",22.84,18.81,1.36,0.92,4.08,1.53,19.96,0.042,0.0686,0.0482,0.1846,68.32,0.071,2.82,0.073,1.69,289.68,2.67,15.69,1.04,1503770,1550780,0,0,"Consumer Durables",2.1,-0.0780334274970211,0.0115440295415002,2.93148434083418,34.5707871404355,6
"550",2.133e+10,2.577e+10,1.281e+10,3.39e+09,1.95e+09,1.13e+09,929740000,6.2e+09,677960000,-559770000,"KUBTY",18.94,0,0,1.64,2.37,2.01,13.19,0.0882,0.1285,0.0556,0.1393,51.26,0.046,4.52,0.083,3.73,65.14,1.98,35.67,0.88,14553,5150,0.012,0,"ETF",1,0.0523727834950963,0.012157244024582,3.73705782631546,2.01149540890523,56
"551",1.24e+09,1.09e+09,765520000,273210000,94630000,53650000,64340000,73100000,64570000,42880000,"KWR",22.73,19.68,2.19,1.4,2.99,1.42,11.48,0.0707,0.1008,0.0784,0.1538,58.21,-0.002,4.08,-0.185,4.83,20.02,3.13,26.79,1.28,61672,120762,0.016,0.015,"Basic Industries",2.5,0.0666873997564087,0.0115408822474973,31.3417360825628,14.5758415445071,18
"552",1.886e+10,1.336e+10,1.232e+10,3.25e+09,1.51e+09,935230000,5.09e+09,253840000,1.06e+09,332100000,"KYO",20.17,21.34,0.86,1.5,1.03,1.08,8.84,0.0759,0.0749,0.0253,0.0584,33.58,0.13,2.55,1.161,13.88,1.37,4.09,48.74,0.59,8861,7675,0.02,0,"Technology",4,-0.111303195449305,0.0101788488918246,4.79889528490288,24.6498952521888,15
"553",1.415e+10,1.742e+10,1.411e+10,8.73e+09,3.42e+09,8.05e+08,7.17e+09,1.055e+10,2.62e+09,8.49e+08,"L",22.5,12.66,1.8,1.01,0.74,1.23,5.09,0.0454,0.1789,0.0197,0.0398,37.29,-0.057,1.69,0.847,19.32,42.83,0.54,51.98,1.06,1230190,1968200,0.007,0.007,"Finance",2.5,-0.0828982253852514,0.00696628157654464,3.1959463133802,32.098898032854,10
"554",7.19e+09,7.41e+09,2.39e+09,2.3e+09,0,691310000,734900000,998350000,0,0,"LAZ",10.7,14.03,2.17,2.95,8.68,3.11,0,0.2896,0.2363,0.1938,0.9756,19.31,0.075,5.18,3.391,5.82,114.84,3.93,6.42,1.58,709100,788625,0.025,0.041,"Finance",2.1,0.00415467410713677,0.0135574198878007,5.26780192723934,61.0676205424316,10
"555",2.357e+10,2.828e+10,1.158e+10,4.81e+09,2.43e+09,1.14e+09,6.99e+08,4.76e+09,1.72e+09,1.02e+09,"LB",21.2,19.08,2.13,2.05,0,2.44,11.65,0.0981,0.1718,0.1869,0,39.57,0.051,3.81,0.592,2.39,0,1.67,-2.08,1.24,1712420,1717300,0.024,0.045,"Consumer Services",2.5,-0.109747762273495,0.00971694196986458,2.87242552046978,69.9288557326358,27
"556",4.626e+10,9.095e+10,1.823e+10,1.144e+10,8.16e+09,-1.15e+09,854900000,4.6e+10,5.67e+09,3.7e+09,"LBTYA",0,71.86,0,2.53,3.57,4.99,11.15,-0.0633,0.1416,0.0239,-0.0928,22.13,-0.004,-1.4,0,0.97,371.65,0.38,14.69,2.06,2248410,1641960,0,0,"Consumer Services",1.8,-0.00737935694907682,0.0105055115285956,7.48980356057315,38.1395526230477,47
"557",812820000,1.23e+09,861470000,203140000,119720000,11460000,18620000,443290000,79010000,24360000,"LBY",72.68,13.83,1.69,0.92,12.08,1.43,10.28,0.0133,0.0927,0.0612,0.1174,39.52,0.031,0.51,0,0.86,676.12,1.95,3.02,0.01,102530,102388,0.012,0.006,"Capital Goods",1.8,-0.0744256563543602,0.010452481811677,2.6012415072222,47.9100013440506,1
"558",201540000,327220000,585260000,212880000,33980000,2370000,3410000,128260000,13900000,19390000,"LCUT",85.53,9.63,1.19,0.34,1.09,0.56,9.63,0.0041,0.0339,0.0304,0.0127,42.92,-0.006,0.17,0,0.25,69.13,3.26,13.39,0.92,34792,32663,0.01,0.01,"Capital Goods",1,-0.0596384536213556,0.00836462874429246,10.1756403877308,60.8163586006407,1
"559",6.59e+09,7.58e+09,3.87e+09,790400000,466700000,238800000,262200000,1e+09,433700000,311190000,"LEG",58.52,20.34,1.53,1.79,6.25,1.96,16.24,0.0301,0.092,0.0704,0.195,27.42,0.104,0.82,0.35,1.9,89.59,1.48,8.03,0.92,970361,1145710,0.025,0.025,"Consumer Durables",3,0.0858207640857648,0.00983083153016107,14.1224483281876,69.5560088321277,6
"560",1.102e+10,1.635e+10,8.63e+09,1.44e+09,1.08e+09,712560000,817060000,6.79e+09,-1.06e+09,-769800000,"LEN",16.89,0,0,1.24,2.08,1.89,15.14,0.0835,0.1204,0.0502,0.1404,42.6,0.316,3.14,0.329,3.98,123.93,6.66,25.04,1.12,2831390,2525160,0.003,0.003,"Basic Industries",0,0.124845768463482,0.0121237140909002,3.4589533273893,0.401606425702738,142
